Datetime,R1,R2,R3,R4,R5,R6
08/06/2021 08:00,1.045274452,0.605505556,0.768498869,0.856126214,0.968272709,0.784701308
08/06/2021 09:00,0.828654951,0.58656584,0.744750351,0.826769552,0.939765096,0.760916661
08/06/2021 10:00,0.902753702,0.610389401,0.774191298,0.862867353,1.000046015,0.790905575
08/06/2021 11:00,0.992525967,0.67607139,0.851085573,0.948620848,1.073895744,0.872956257
08/06/2021 12:00,1.079451893,0.701615508,0.926592185,1.058159984,1.167253416,0.945897127
08/06/2021 13:00,1.167733043,0.80324942,1.019091216,1.135849026,1.284660573,1.041042786
08/06/2021 14:00,1.239212393,0.837588341,1.054481187,1.184386664,1.338472435,1.085473394
08/06/2021 15:00,1.265086844,0.855096213,1.084686367,1.209268237,1.367588587,1.319084471
08/06/2021 16:00,1.208167752,0.657379076,1.00690302,1.224516001,1.371421943,1.122822428
08/06/2021 17:00,1.20898979,0.818554277,1.037300826,1.156015908,1.307605399,1.059783793
08/06/2021 18:00,1.2680025,0.784187727,1.083329849,1.26800406,1.252751923,1.015252858
08/06/2021 19:00,1.119935241,0.756977141,1.070893023,1.075204745,1.21067099,0.878240372
08/06/2021 20:00,1.163404676,0.80903816,1.020854271,1.143769842,1.294864464,1.048322965
08/06/2021 21:00,1.274506965,1.023891166,1.290227478,1.218186708,1.383290474,1.116512019
08/06/2021 22:00,1.299258933,1.095671149,1.114231189,1.242136328,1.395,1.138263282
08/06/2021 23:00,1.316961108,0.890125202,1.129348079,1.274827448,1.423697712,1.19226607
09/06/2021 00:00,1.223685666,0.726378113,0.953316241,1.169717537,1.373509489,1.071779218
09/06/2021 01:00,1.246128232,0.800491236,1.014788459,1.132478929,1.280698823,1.037996093
09/06/2021 02:00,1.225214558,1.028838174,0.95345328,1.048180351,1.201728925,0.958706155
09/06/2021 03:00,1.014272806,0.685229641,0.869159943,0.968938533,1.155008661,0.911655357
09/06/2021 04:00,0.941792824,0.636913996,0.8065847,0.901765813,1.018005778,0.825119022
09/06/2021 05:00,0.906121376,0.69983084,0.972458249,0.789000987,1.09000814,0.794010082
09/06/2021 06:00,0.908693487,0.638197249,0.778325794,0.866252971,0.979754875,0.778850617
09/06/2021 07:00,0.919246872,0.65427221,0.88079614,0.924940388,1.046093089,0.844361713
09/06/2021 08:00,0.895672764,0.605428103,0.767616257,0.860566587,0.968254885,0.784699798
09/06/2021 09:00,0.934567273,0.586984369,0.760015702,0.765564475,0.938965462,0.760868848
09/06/2021 10:00,0.842754812,0.612277726,0.775892103,0.862896285,0.975927793,0.794083401
09/06/2021 11:00,0.992476585,0.67011149,0.901140349,0.948456538,1.072786249,0.869456178
09/06/2021 12:00,1.080036471,0.641856682,0.918168695,1.026917148,1.183601991,0.946092877
09/06/2021 13:00,1.18832337,0.808185471,1.019503297,1.140623831,1.28465426,1.064082
09/06/2021 14:00,1.166321808,0.707398005,1.062364793,1.18437583,1.339479797,1.085467518
09/06/2021 15:00,1.274704879,0.855090951,1.084688299,1.209177405,1.367721243,1.108298236
09/06/2021 16:00,1.142742576,0.870943503,1.099128062,1.224975297,1.385437801,1.122813551
09/06/2021 17:00,1.20957323,0.860713709,0.965322168,1.281609478,1.307615022,1.059707123
09/06/2021 18:00,1.158975474,0.783326553,0.991555821,1.107691347,1.252061442,0.975373885
09/06/2021 19:00,1.145479086,0.756984937,0.942515489,1.070466726,1.210644485,0.982895405
09/06/2021 20:00,1.196585108,0.808923544,1.026819361,1.144139672,1.298878795,0.996143593
09/06/2021 21:00,1.274474209,0.861730303,1.092976142,1.218207839,1.377783014,1.11829667
09/06/2021 22:00,1.280341447,0.878181291,1.114151722,1.242226162,1.404572247,1.138257893
09/06/2021 23:00,1.316968245,0.873601655,1.129408102,1.341243166,1.395,1.153784429
10/06/2021 00:00,1.223723776,0.872040964,1.049422953,1.169983717,1.322893631,1.072120571
10/06/2021 01:00,1.184824512,0.795175626,1.089756395,1.059735065,1.231268572,1.075139301
10/06/2021 02:00,1.111625963,0.751395487,0.953318579,1.062736378,1.201731663,0.97003289
10/06/2021 03:00,1.013675506,0.685193367,0.869303436,0.968971531,1.095611388,0.886884267
10/06/2021 04:00,0.899456588,0.636892794,0.807578142,0.900113123,1.018082155,0.825034556
10/06/2021 05:00,0.9062863,0.612589565,0.696529984,0.743285708,0.979753877,0.792519247
10/06/2021 06:00,0.905896315,0.612605791,0.777226906,0.866309322,0.979754571,0.710498032
10/06/2021 07:00,0.969784796,0.654081131,0.830285128,0.924940111,1.064492981,0.848096687
10/06/2021 08:00,0.895655749,0.608659605,0.699833982,0.74697495,0.968849391,0.78469984
10/06/2021 09:00,0.868522917,0.680056702,0.744872956,0.83004744,0.938929821,0.724117837
10/06/2021 10:00,0.902778191,0.610236951,0.694062423,0.86289597,0.9243355,0.790894515
10/06/2021 11:00,0.992431509,0.67062358,0.850991368,0.948457057,0.901279246,0.952465801
10/06/2021 12:00,1.011826534,0.714268558,0.925997685,1.032084751,1.218344796,0.757964027
